event_type,file_name
ee,x7575_13812.gif
ee,s7575_13812.gif
ee,x7575_9323.gif
ee,s7575_9323.gif
mumu,x7592_53793.gif
mumu,s7592_53793.gif
mumu,x7610_54683.gif
mumu,s7610_54683.gif
tautau,x7592_36349.gif
tautau,s7592_36349.gif
tautau,x7624_27103.gif
tautau,zoom7624_27103.gif
tautau,s7624_27103.gif
tautau,x7610_33032.gif
tautau,s7610_33032.gif
qq,x7575_15190.gif
qq,s7575_15190.gif
qq,x7579_49567.gif
qq,s7579_49567.gif
qqqq,x7639_62338.gif
qqqq,s7639_62338.gif
qqqq,sj7639_62338.gif
qqqq,x7626_44433.gif
qqqq,s7626_44433.gif
lnulnu,x7402_203918.gif
lnulnu,s7402_203918.gif
enuqq,x7590_9003.gif
enuqq,s7590_9003.gif
enuqq,m7590_9003.gif
munuqq,x7622_12258.gif
munuqq,s7622_12258.gif
taunuqq,x7622_6263.gif
taunuqq,s7622_6263.gif
ffgamma,x7614_37594.gif
ffgamma,s7614_37594.gif
ffgamma,x7575_31138.gif
ffgamma,s7575_31138.gif
ffgamma,s7610_18120.gif
ffgamma,x7610_18120.gif
qqg,x7579_6540.gif
qqg,s7579_6540.gif
ffff,x7708_10447.gif
ffff,s7708_10447.gif
